rank,name,revenues,revenue_percent_change,profits,profits_percent_change,assets,market_value,change_in_rank,employees
906,Kaiser Aluminum,"$2,622 ",123.60%,($18.50),-164.20%,"$2,422.40 ","$1,493.90 ",-,"3,957"
907,Federated Mutual Insurance,"$2,612.20 ",14.10%,$320.10 ,61.50%,"$10,537.40 ",-,-10,"2,702"
908,F5,"$2,603.40 ",10.70%,$331.20 ,7.70%,"$4,997.30 ","$12,691.20 ",-26,"6,429"
909,Steelcase,"$2,596.20 ",-30.30%,$26.10 ,-86.90%,"$2,354 ","$1,339.50 ",-264,"11,400"
910,Encore Wire,"$2,592.70 ",103%,$541.40 ,611.80%,"$1,530.50 ","$2,250.30 ",-,"1,440"
911,Guess,"$2,591.60 ",38.10%,$171.40 ,-,"$2,555.60 ","$1,305.50 ",79,"12,500"
912,Playtika Holding,"$2,583 ",8.90%,$308.50 ,235%,"$2,803.30 ","$7,965.80 ",-40,"4,000"
913,Pinterest,"$2,578 ",52.30%,$316.40 ,-,"$3,537.20 ","$16,196.90 ",-,"3,225"
914,WeWork,"$2,570.10 ",-24.80%,"($4,439)",-,"$21,756.20 ","$4,937.40 ",-,"4,400"
915,ManTech International,"$2,554 ",1.40%,$137 ,13.70%,"$2,639.60 ","$3,517.60 ",-80,"9,800"
916,BrightView Holdings,"$2,553.60 ",8.80%,$46.30 ,-,"$3,237.60 ","$1,351.50 ",-32,"20,150"
917,NortonLifeLock,"$2,552 ",-33.90%,$554 ,-85.70%,"$6,361 ","$15,441.90 ",-286,"2,800"
918,Deckers Outdoor,"$2,545.60 ",19.40%,$382.60 ,38.50%,"$2,167.70 ","$7,457.80 ",11,"3,400"
919,Griffon,"$2,541.70 ",5.60%,$79.20 ,48.30%,"$2,604.70 ","$1,127.80 ",-61,"6,700"
920,AMC Entertainment Holdings,"$2,527.90 ",103.50%,"($1,269.10)",-,"$10,821.50 ","$12,733.40 ",-,"17,122"
921,Curtiss-Wright,"$2,505.90 ",4.80%,$267.20 ,32.70%,"$4,103.50 ","$5,771 ",-58,"7,800"
922,MYR Group,"$2,498.30 ",11.20%,$85 ,44.70%,"$1,121.10 ","$1,594.50 ",-16,"7,600"
923,Kontoor Brands,"$2,475.90 ",-,$195.40 ,-,"$1,533 ","$2,325.30 ",-,"14,000"
924,Liberty Energy,"$2,470.80 ",155.80%,($179.20),-,"$2,040.70 ","$2,757.90 ",-,"3,601"
925,Knights of Columbus,"$2,467.50 ",4.90%,$130.30 ,37.20%,"$28,838.40 ",-,-47,749
926,AdaptHealth,"$2,465.10 ",133.40%,$156.20 ,-,"$5,250.50 ","$2,146.60 ",-,"10,700"
927,MillerKnoll,"$2,465.10 ",-0.90%,$173.10 ,-,"$2,061.90 ","$2,617.70 ",-84,"7,600"
928,Equity Residential,"$2,464 ",-4.20%,"$1,332.90 ",45.90%,"$21,169.20 ","$33,802.50 ",-104,"2,400"
929,DexCom,"$2,448.50 ",27.10%,$154.70 ,-68.70%,"$4,863.60 ","$49,824.50 ",47,"6,650"
930,Rollins,"$2,424.30 ",12.20%,$350.70 ,34.50%,"$1,980.90 ","$17,260.70 ",-9,"16,482"
931,Genesco,"$2,422.10 ",35.60%,$114.90 ,-,"$1,562.10 ",$868.70 ,-,"11,700"
932,Bruker,"$2,417.90 ",21.70%,$277.10 ,75.60%,"$3,650 ","$9,694.70 ",26,"7,765"
933,Joann,"$2,417.60 ",-12.50%,$56.70 ,-73.30%,"$2,362.20 ",$463.20 ,-142,"13,530"
934,Wolverine World Wide,"$2,414.90 ",34.80%,$68.60 ,-,"$2,586.40 ","$1,836.10 ",-,"4,400"
935,Gray Television,"$2,413 ",1.30%,$90 ,-78%,"$11,108 ","$2,093.20 ",-68,"8,801"
936,Affiliated Managers Group,"$2,412.40 ",19%,$565.70 ,179.80%,"$8,876.40 ","$5,606.80 ",15,"4,050"
937,Summit Materials,"$2,409.70 ",3.30%,$152.20 ,10.30%,"$4,239.10 ","$3,687.80 ",-50,"5,500"
938,SLM,"$2,409.30 ",2.40%,"$1,160.50 ",31.80%,"$29,221.90 ","$5,129.70 ",-59,"1,450"
939,Belden,"$2,408.10 ",22.10%,$63.90 ,-,"$3,417.70 ","$2,492.50 ",25,"7,400"
940,Allison Transmission Holdings,"$2,402 ",15.40%,$442 ,47.80%,"$4,457 ","$3,810.60 ",3,"3,400"
941,Element Solutions,"$2,399.80 ",29.50%,$203.30 ,168.60%,"$5,138.40 ","$5,434.80 ",-,"5,300"
942,Portland General Electric,"$2,396 ",11.70%,$244 ,57.40%,"$9,494 ","$4,940 ",-16,"2,839"
943,REV Group,"$2,380.80 ",4.50%,$44.40 ,-,"$1,238.30 ",$843.40 ,-41,"6,800"
944,Acadia Healthcare,"$2,376.90 ",-25.90%,$190.60 ,-,"$4,768.10 ","$5,891.30 ",-235,"19,200"
945,Alexandria Real Estate Equities,"$2,373.60 ",2.90%,$571.20 ,-25.90%,"$30,219.40 ","$32,188.60 ",-55,559
946,Nordson,"$2,362.20 ",11.40%,$454.40 ,82.10%,"$3,791 ","$13,157.10 ",-12,"6,813"
947,NewMarket,"$2,356.10 ",17.20%,$190.90 ,-29.40%,"$2,558.40 ","$3,346.70 ",7,"2,104"
948,Ohio National Mutual,"$2,346.50 ",7.50%,($85.20),-177495.80%,"$40,795 ",-,-34,"1,082"
949,Stepan,"$2,346 ",25.50%,$137.80 ,8.70%,"$2,065.60 ","$2,215.60 ",43,"2,439"
950,Valhi,"$2,335.40 ",24.30%,$127.20 ,130.40%,"$3,005.20 ",$828.80 ,39,"2,847"
951,Hilton Grand Vacations,"$2,335 ",161.20%,$176 ,-,"$8,008 ","$6,247.90 ",-,"13,000"
952,Cooper-Standard Holdings,"$2,330.20 ",-1.90%,($322.80),-,"$2,226.50 ",$149 ,-82,"21,300"
953,Etsy,"$2,329.10 ",35%,$493.50 ,41.30%,"$3,831.80 ","$15,787.70 ",-,"2,402"
954,Crocs,"$2,313.40 ",66.90%,$725.70 ,132%,"$1,545.10 ","$4,676.20 ",-,"5,770"
955,Olympic Steel,"$2,312.30 ",87.40%,$121.10 ,-,"$1,023.60 ",$427.80 ,-,"1,642"
956,Signature Bank,"$2,311.30 ",15.20%,$918.40 ,73.80%,"$118,445.40 ","$18,416.90 ",-,"1,854"
957,SBA Communications,"$2,308.80 ",10.80%,$237.60 ,885.80%,"$9,801.70 ","$37,168.70 ",-15,"1,596"
958,Murphy Oil,"$2,300.10 ",16.70%,($73.70),-,"$10,304.90 ","$6,275.30 ",7,696
959,Entegris,"$2,298.90 ",23.60%,$409.10 ,38.70%,"$3,191.90 ","$17,830.90 ",38,"6,850"
960,AvalonBay Communities,"$2,294.90 ",-0.30%,"$1,004.30 ",21.30%,"$19,902 ","$34,710.30 ",-64,"2,883"
961,Saia,"$2,288.70 ",25.60%,$253.20 ,83.10%,"$1,845.30 ","$6,438.40 ",-,"11,600"
962,E.W. Scripps,"$2,283.50 ",19.20%,$122.70 ,-54.40%,"$6,658.30 ","$1,718.30 ",17,"5,600"
963,TTEC Holdings,"$2,273.10 ",16.60%,$141 ,18.80%,"$1,996.80 ","$3,878 ",11,"65,000"
964,Sun Communities,"$2,272.60 ",62.50%,$380.20 ,188.80%,"$13,494.10 ","$20,372.80 ",-,"5,455"
965,Alpha Metallurgical Resources,"$2,258.60 ",36.70%,$288.80 ,-,"$1,857.70 ","$2,447.50 ",-,"3,500"
966,GEO Group,"$2,256.60 ",-4%,$77.40 ,-31.50%,"$4,537.40 ",$809.80 ,-83,"15,800"
967,Viasat,"$2,256.10 ",-2.30%,$3.70 ,-,"$5,349.50 ","$3,630.40 ",-75,"5,800"
968,Benchmark Electronics,"$2,255.30 ",9.80%,$35.80 ,154.50%,"$1,903.90 ",$881.40 ,-18,"10,900"
969,Kar Auction Services,"$2,251.60 ",2.90%,$66.50 ,13200%,"$7,417.20 ","$2,187.30 ",-56,"8,928"
970,TTM Technologies,"$2,248.70 ",-,$54.40 ,-69.40%,"$3,025.50 ","$1,506.20 ",-65,"16,100"
971,Kirby,"$2,246.70 ",3.50%,($247),-,"$5,399.10 ","$4,345.90 ",-51,"5,125"
972,Woodward,"$2,245.80 ",-10%,$208.60 ,-13.20%,"$4,091 ","$7,882.40 ",-130,"7,200"
973,Clear Channel Outdoor Holdings,"$2,241.10 ",20.80%,($433.80),-,"$5,299.40 ","$1,630.90 ",27,"4,600"
974,Spire,"$2,235.50 ",20.50%,$271.70 ,206.70%,"$9,356.40 ","$3,713.60 ",25,"3,710"
975,Vista Outdoor,"$2,225.50 ",26.70%,$266 ,-,"$1,764.90 ","$2,007.90 ",-,"5,900"
976,Surgery Partners,"$2,225.10 ",19.60%,($70.90),-,"$6,117.60 ","$4,919.10 ",20,"9,600"
977,LHC Group,"$2,219.60 ",7.60%,$115.70 ,3.70%,"$2,895.60 ","$5,229.60 ",-30,"23,000"
978,Amedisys,"$2,214.10 ",6.90%,$209.10 ,13.90%,"$1,857 ","$5,603.90 ",-39,"21,000"
979,Century Aluminum,"$2,212.50 ",37.80%,($167.10),-,"$1,569.90 ","$2,400.30 ",-,"2,512"
980,Arch Resources,"$2,208 ",50.50%,$337.60 ,-,"$2,117.20 ","$2,126.20 ",-,"3,303"
981,Aerojet Rocketdyne Holdings,"$2,188 ",5.60%,$143.70 ,4.40%,"$2,433.60 ","$3,169.40 ",-36,"5,000"
982,Sleep Number,"$2,184.90 ",17.70%,$153.70 ,10.50%,$919.50 ,"$1,123.70 ",16,"5,388"
983,HNI,"$2,184.40 ",11.70%,$59.80 ,42.70%,"$1,497.90 ","$1,568.70 ",-12,"8,000"
984,Pure Storage,"$2,180.80 ",29.50%,($143.30),-,"$3,135.30 ","$10,238 ",-,"4,200"
985,TrueBlue,"$2,173.60 ",17.70%,$61.60 ,-,"$1,033.20 ",$995.60 ,-,"6,400"
986,Party City Holdco,"$2,171.10 ",17.30%,($6.50),-,"$2,711.90 ",$402.60 ,-,"11,450"
987,Dun & Bradstreet Holdings,"$2,165.60 ",24.60%,($71.70),-,"$9,997.20 ","$7,554 ",-,"6,296"
988,Dropbox,"$2,157.90 ",12.70%,$335.80 ,-,"$3,091.30 ","$8,873.50 ",-8,"2,667"
989,New Jersey Resources,"$2,156.60 ",10.40%,$117.90 ,-39.20%,"$5,722.30 ","$4,405.40 ",-17,"1,251"
990,Acushnet Holdings,"$2,147.90 ",33.20%,$178.90 ,86.30%,"$2,005.80 ","$2,914 ",-,"6,500"
991,Harsco,"$2,147 ",14.60%,($3.20),-,"$3,053.90 ",$969.70 ,-,"12,000"
992,Beazer Homes USA,"$2,140.30 ",0.60%,$122 ,133.60%,"$2,078.80 ",$478.80 ,-61,"1,052"
993,Chemed,"$2,139.30 ",2.90%,$268.60 ,-15.90%,"$1,342.70 ","$7,592.50 ",-49,"14,137"
994,Genesis Energy,"$2,125.50 ",16.50%,($165.10),-,"$5,905.80 ","$1,435.40 ",-,"1,898"
995,BWX Technologies,"$2,124.10 ",-,$305.90 ,9.80%,"$2,501.40 ","$4,925.60 ",-63,"6,600"
996,Vizio Holding,"$2,124 ",4%,($39.40),-138.40%,$935.80 ,"$1,705.10 ",-,800
997,1-800-Flowers.com,"$2,122.20 ",42.50%,$118.70 ,101.10%,"$1,076.70 ",$830 ,-,"4,800"
998,Cowen,"$2,112.80 ",30.20%,$295.60 ,36.60%,"$8,748.80 ",$744.10 ,-,"1,534"
999,Ashland Global Holdings,"$2,111 ",-11.20%,$220 ,-,"$6,612 ","$5,601.90 ",-130,"4,100"
"1,000",DocuSign,"$2,107.20 ",45%,($70),-,"$2,541.30 ","$21,302.80 ",-,"7,461"
