rank,name,revenues,revenue_percent_change,profits,profits_percent_change,assets,market_value,change_in_rank,employees
123,Hewlett Packard Enterprise,"$27,784 ",3%,"$3,427 ",-,"$57,699 ","$21,725.30 ",-17,"60,400"
124,D.R. Horton,"$27,774.20 ",36.70%,"$4,175.80 ",75.90%,"$24,015.90 ","$26,403.20 ",24,"11,788"
125,Molina Healthcare,"$27,771 ",43%,$659 ,-2.10%,"$12,209 ","$19,572.90 ",30,"14,000"
126,CBRE Group,"$27,746 ",16.50%,"$1,836.60 ",144.20%,"$22,073.50 ","$30,414.20 ",-4,"105,000"
127,Micron Technology,"$27,705 ",29.30%,"$5,861 ",118.10%,"$58,849 ","$86,977.20 ",8,"43,000"
128,Broadcom,"$27,450 ",14.90%,"$6,736 ",127.60%,"$75,570 ","$257,086.50 ",-7,"20,000"
129,Gilead Sciences,"$27,305 ",10.60%,"$6,225 ",4961%,"$67,952 ","$74,656.50 ",-13,"14,400"
130,PBF Energy,"$27,253.40 ",80.30%,$231 ,-,"$11,641.40 ","$2,932.60 ",73,"3,418"
131,Lennar,"$27,130.70 ",20.60%,"$4,430.10 ",79.70%,"$33,207.80 ","$23,413 ",-2,"10,753"
132,United Natural Foods,"$26,992 ",0.90%,$149 ,-,"$7,525 ","$2,409.30 ",-25,"28,300"
133,NRG Energy,"$26,989 ",196.80%,"$2,187 ",328.80%,"$23,182 ","$9,289 ",200,"6,635"
134,Nvidia,"$26,914 ",61.40%,"$9,752 ",125.10%,"$44,187 ","$684,878.60 ",50,"22,473"
135,Occidental Petroleum,"$26,772 ",60.50%,"$2,322 ",-,"$75,036 ","$53,160.20 ",48,"11,678"
136,Salesforce,"$26,492 ",24.70%,"$1,444 ",-64.50%,"$95,209 ","$210,196.80 ",1,"73,541"
137,Dollar Tree,"$26,321.20 ",3.20%,"$1,327.90 ",-1%,"$21,721.80 ","$36,051.40 ",-26,"136,226"
138,KKR,"$26,141.30 ",171.50%,"$4,666.50 ",133%,"$264,285.40 ","$51,542.90 ",178,"3,238"
139,Kraft Heinz,"$26,042 ",-0.50%,"$1,012 ",184.30%,"$93,394 ","$48,248.60 ",-29,"36,000"
140,Amgen,"$25,979 ",2.20%,"$5,893 ",-18.90%,"$61,165 ","$134,700.80 ",-28,"24,200"
141,AutoNation,"$25,844 ",26.70%,"$1,373 ",259.80%,"$8,943.60 ","$6,111.40 ",4,"22,200"
142,Penske Automotive Group,"$25,554.70 ",25%,"$1,187.80 ",118.50%,"$13,464.60 ","$7,196.70 ",1,"24,797"
143,PayPal Holdings,"$25,371 ",18.30%,"$4,169 ",-0.80%,"$75,803 ","$134,732.80 ",-9,"30,900"
144,Macy's,"$25,292 ",39.80%,"$1,430 ",-,"$17,590 ","$7,123.20 ",20,"88,857"
145,Duke Energy,"$24,677 ",5.20%,"$3,908 ",183.80%,"$169,587 ","$85,967 ",-19,"27,605"
146,United Airlines Holdings,"$24,634 ",60.40%,"($1,964)",-,"$68,175 ","$15,049.70 ",54,"84,100"
147,Visa,"$24,105 ",10.30%,"$12,311 ",13.30%,"$82,896 ","$480,022.50 ",-14,"21,500"
148,Rite Aid,"$24,043.40 ",9.60%,($90.90),-,"$9,335.40 ",$488.10 ,-16,"50,000"
149,Cummins,"$24,021 ",21.30%,"$2,131 ",19.10%,"$23,710 ","$29,140.90 ",1,"59,900"
150,U.S. Bancorp,"$23,714 ",-6%,"$7,963 ",60.60%,"$573,284 ","$78,929.80 ",-37,"68,796"
151,Paccar,"$23,522.30 ",25.60%,"$1,852.10 ",42.60%,"$29,301.70 ","$30,619.70 ",8,"28,500"
152,McDonald's,"$23,222.90 ",20.90%,"$7,545.20 ",59.50%,"$53,854.30 ","$183,873.60 ",5,"200,000"
153,Southern,"$23,113 ",13.40%,"$2,393 ",-23.30%,"$127,534 ","$76,877 ",-7,"27,164"
154,C.H. Robinson Worldwide,"$23,102.10 ",42.50%,$844.20 ,66.70%,"$7,028.10 ","$13,855.80 ",37,"16,877"
155,Truist Financial,"$23,064 ",-5.60%,"$6,440 ",43.70%,"$541,241 ","$75,353.90 ",-36,"51,462"
156,Applied Materials,"$23,063 ",34.10%,"$5,888 ",62.70%,"$25,825 ","$116,431.40 ",20,"27,000"
157,Freeport-McMoRan,"$22,845 ",60.90%,"$4,306 ",618.90%,"$48,022 ","$72,360.80 ",58,"24,700"
158,Lithia Motors,"$22,831.70 ",74%,"$1,060 ",125.40%,"$11,146.90 ","$8,909.80 ",73,"21,150"
159,Blackstone,"$22,577.10 ",270%,"$5,857.40 ",460.30%,"$41,196.40 ","$88,907.20 ",295,"3,795"
160,Hartford Financial Services Group,"$22,390 ",9.10%,"$2,365 ",36.20%,"$76,578 ","$23,815.60 ",-18,"18,100"
161,Aflac,"$22,106 ",-0.20%,"$4,325 ",-9.50%,"$157,542 ","$41,812.80 ",-30,"12,447"
162,Whirlpool,"$21,985 ",13%,"$1,783 ",64.90%,"$20,285 ","$10,101.20 ",-8,"69,000"
163,Union Pacific,"$21,804 ",11.60%,"$6,523 ",21.90%,"$63,525 ","$171,681.60 ",-10,"32,124"
164,International Paper,"$21,780 ",5.80%,"$1,752 ",263.50%,"$25,243 ","$17,301.10 ",-23,"38,200"
165,Altria Group,"$21,111 ",1.30%,"$2,475 ",-44.60%,"$39,523 ","$94,951.70 ",-27,"6,000"
